,Stanford_timestamp,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,Operator_Timestamp
0,2021-07-30 15:41:08+00:00,358.47917870522195,334.2937185722588,384.75184286905414,321.74,471.71,179.3,1,2.0,162928.0,True,True,359.0609439116052,334.9796732441427,385.0638375905211,358.947838265635,334.22061415371576,384.6637784672836,2021-07-30 15:41:00+00:00
1,2021-07-30 15:52:20+00:00,171.07524009813054,154.31617878554155,188.04987728179168,232.19,338.38,133.63,1,2.0,162928.0,True,True,170.0874470046657,153.2593681337263,187.12387911952973,171.25754576352202,154.68373411482315,188.36789916477667,2021-07-30 15:52:00+00:00
2,2021-07-30 16:07:20+00:00,49.976481212620016,36.063332436821355,63.70637368005425,109.22,160.03,62.73,1,2.0,162928.0,True,True,49.75791531161178,35.83304798001287,63.70526854953015,49.70366903274132,35.829096480706625,63.46243075688832,2021-07-30 16:07:00+00:00
3,2021-07-30 16:22:13+00:00,0.0,0.0,0.0,102.76,151.54,59.8,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-30 16:22:00+00:00
4,2021-07-30 16:36:53+00:00,236.74267004498122,217.41663598103304,256.8123713826304,152.31,222.33,90.07,1,2.0,162928.0,True,True,239.29398458586334,220.32702875734483,259.32773473339546,237.60133123853817,218.54143731630097,258.05587866984166,2021-07-30 16:36:00+00:00
5,2021-07-30 16:51:19+00:00,295.0844625381436,273.57767038101105,318.52989934169915,225.42,392.61,99.69,1,2.0,162928.0,True,True,295.80436627100585,274.80605519769136,318.7062275292507,295.1449223303905,273.5978002044197,317.9193274639055,2021-07-30 16:51:00+00:00
6,2021-07-30 17:06:22+00:00,95.04937833016814,80.53175780707268,109.94557107571838,82.21,136.95,33.3,1,2.0,162928.0,True,True,95.31402213804715,80.5763424358313,110.59911763603519,94.9808360192227,80.49237585650391,109.75617034223873,2021-07-30 17:06:00+00:00
7,2021-07-30 17:22:17+00:00,382.2497174977674,356.59065640872205,409.773324429449,362.67,613.8,138.79,1,2.0,162928.0,True,True,383.2826096423428,357.7377333292801,409.63239237563334,380.63322434383855,355.4293267187633,408.14132877848317,2021-07-30 17:22:00+00:00
8,2021-07-30 18:08:00+00:00,63.648643765690494,53.989723611416245,73.66773447368956,205.48,331.16,89.54,1,4.0,218645.0,True,True,63.92790181058282,54.266143305168974,73.72586019308721,63.76477433351599,54.03250866936388,73.49481076639319,2021-07-30 18:08:00+00:00
9,2021-08-03 15:52:47+00:00,6.720046999469171,-2.069298949676552,15.421987679980862,140.85,211.86,76.46,1,4.0,218645.0,True,False,20.397791395590513,11.66535718828864,29.23105023782042,10.166773895523372,1.4150781372448942,19.02962889334669,2021-08-03 15:53:00+00:00
10,2021-08-03 16:11:48+00:00,495.04905504890394,464.6139944254052,528.5198593507496,344.58,512.42,189.55,1,4.0,218645.0,True,True,494.57564511331293,463.508835420179,527.3400668443761,494.99014998822827,464.9377507907728,528.1362693230782,2021-08-03 16:11:00+00:00
11,2021-08-03 16:30:21+00:00,560.5704497323253,527.1727508673913,596.6077088452013,472.22,682.46,280.28,1,4.0,218645.0,True,True,560.6734314149993,526.9344561156474,597.056005525548,560.1577896163699,526.1073868066535,597.0359441967875,2021-08-03 16:30:00+00:00
12,2021-08-03 16:48:33+00:00,297.27528668893876,277.0233563294178,318.77788849216114,299.01,415.01,197.33,1,4.0,218645.0,True,True,296.55221689681264,276.5384173410613,317.98392424646954,297.5448960829535,277.57617409984806,319.2203036804551,2021-08-03 16:49:00+00:00
13,2021-08-03 17:06:37+00:00,654.3801037884975,615.3846372142702,695.8631367804073,694.32,859.69,537.16,1,4.0,218645.0,True,True,653.4512879289279,614.8933388690746,695.7057338095349,653.8415815148007,614.5623260065946,695.8151712507074,2021-08-03 17:06:00+00:00
14,2021-08-03 17:24:17+00:00,690.8034884245735,648.4750837816267,734.3576218293011,648.93,791.07,521.87,1,4.0,218645.0,True,True,689.0916873578126,646.8753627267059,733.2573320764258,689.2618829199349,648.5977823505045,733.7428451415487,2021-08-03 17:24:00+00:00
15,2021-08-03 17:41:49+00:00,0.0,0.0,0.0,243.47,326.58,166.76,1,2.0,162928.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-03 17:41:00+00:00
16,2021-08-03 17:59:03+00:00,382.28070377040365,356.5699075042981,409.381733407662,730.75,987.37,494.07,1,2.0,162928.0,True,True,382.1277678365445,356.735766527919,408.61646343137323,381.9377873905548,356.1802167512923,409.0476695182496,2021-08-03 17:59:00+00:00
17,2021-08-03 18:15:00+00:00,129.6309861095899,113.97505093118026,145.3934703556964,385.89,487.62,288.5,1,2.0,162928.0,True,True,129.6104905242117,114.32942790554597,145.5682979383599,129.67807623592972,114.57850975107154,145.53517387072264,2021-08-03 18:15:00+00:00
18,2021-08-03 18:35:10+00:00,56.054845848365055,41.929294168602105,70.22343985195701,,,,1,2.0,162928.0,True,True,55.999243482643365,42.12532397122163,69.9797031305615,56.15666549416326,42.22818782180725,70.22253612044084,2021-08-03 18:35:00+00:00
19,2021-08-03 18:53:41+00:00,446.0514649263601,417.2285873642543,476.85972712487165,525.67,727.14,342.93,1,2.0,162928.0,True,True,444.95059489070417,416.7624903587673,474.9871599195739,445.43974383420806,416.7943070095908,476.0409072937289,2021-08-03 18:53:00+00:00
20,2021-08-03 19:11:52+00:00,236.6260881654208,217.37495862419595,256.65970144003364,173.21,231.18,118.33,1,2.0,162928.0,True,True,246.19679968533413,226.88889019956892,266.5999046778545,235.2359741100084,216.45040262253744,254.5277326465709,2021-08-03 19:11:00+00:00
